index,total_on_role,mean_champ_win_rate,mean_role_win_rate,jg_on_role,mean_session_games,aggregate_session_win_rate,win,match_id
0,1,0.11777920410783055,-0.10129808849727956,0,-0.6,-0.3333333333333333,1.0,NA1_4035098805
0,1,-0.30588235294117644,-0.09830534596981955,0,3.8,0.375,-1.0,NA1_4035099026
0,-4,,-0.3883903133903134,-1,-6.3999999999999995,0.1470588235294118,-1.0,NA1_4035098957
0,1,0.21269841269841272,0.08089409049959695,0,-0.19999999999999996,0.15000000000000002,-1.0,NA1_4035089567
0,-1,-0.36666666666666664,-0.17696969696969694,0,-1.0,0.7,1.0,NA1_4035098709
0,0,,,0,,,1.0,NA1_4035099363
0,-1,-0.09401709401709402,-0.2972162849872773,0,-2.0,0.5833333333333333,-1.0,NA1_4035089573
0,-2,0.12738095238095243,-0.35777126099706746,-1,-0.40000000000000013,0.0,1.0,NA1_4035098897
0,0,0.5,-0.04599208965062629,0,3.8,0.47368421052631576,1.0,NA1_4035099069
0,0,0.05049261083743839,-0.14575394024935312,0,-0.7999999999999999,-0.04761904761904767,-1.0,NA1_4035089666
0,1,0.06846846846846844,-0.13121212121212117,0,0.3999999999999999,0.5,1.0,NA1_4035098778
0,0,0.007515440136914964,-0.3278172138420586,-1,-1.4000000000000001,0.20454545454545459,1.0,NA1_4035098855
0,0,-0.005952380952380931,-0.10375292889912785,0,1.0,0.1333333333333333,1.0,NA1_4035098913
0,0,0.1004608294930876,0.06695049860939267,1,1.1999999999999997,0.125,1.0,NA1_4035098702
0,0,-0.18681318681318676,-0.19235316552250192,1,-82.0,0.2121212121212121,-1.0,NA1_4035079613
0,-1,-0.02716981132075469,-0.06613147914032869,0,-0.6,0.33333333333333337,1.0,NA1_4035098534
0,0,-0.12930931647381605,-0.3599598407574479,0,-0.40000000000000013,-0.2916666666666667,-1.0,NA1_4035098860
0,-2,-0.26666666666666666,-0.183028083028083,0,0.6000000000000001,-0.23863636363636365,-1.0,NA1_4035099057
0,0,-0.0013654207202593582,-0.046649122807017496,0,0.6000000000000001,-0.29545454545454547,1.0,NA1_4035099001
0,-1,0.07502131287297525,-0.10063492063492063,1,-0.7999999999999999,0.5,-1.0,NA1_4035099129
0,-1,0.04397163120567371,-0.14094887955182073,0,0.0,-0.1428571428571428,-1.0,NA1_4035098879
0,0,-0.048387096774193505,-0.12553502835192976,1,1.8,0.13333333333333341,1.0,NA1_4035099172
0,0,0.07516129032258068,-0.1466264915752234,0,0.0,0.11111111111111105,-1.0,NA1_4035089624
0,0,0.04201680672268909,-0.2382145090681676,-1,-0.4,-0.26666666666666666,-1.0,NA1_4035099192
0,1,0.11309523809523808,-0.14708010042695646,1,0.6000000000000001,-0.05555555555555558,-1.0,NA1_4035098655
0,0,-0.09166666666666667,-0.1711331805449452,0,3.1999999999999997,-0.14906832298136652,1.0,NA1_4035099114
0,-1,-0.14479638009049772,-0.3576599326599327,1,-2.1999999999999997,-0.5,-1.0,NA1_4035098732
0,-1,0.12142857142857139,0.1570907633671217,0,1.2000000000000002,0.4175824175824176,-1.0,NA1_4035098660
0,-1,0.03979853841595887,-0.012193668528864055,0,0.6000000000000001,-0.11428571428571432,-1.0,NA1_4035098937
0,0,-0.009599520023998886,-0.12642022436472583,-1,-0.19999999999999996,0.5,1.0,NA1_4035099226
0,-1,-0.0966424682395644,-0.11102550850675885,0,1.0,-0.14705882352941174,1.0,NA1_4035079733
0,1,0.03650793650793649,-0.15482552509706426,0,1.0,-0.20000000000000007,-1.0,NA1_4035098658
0,-1,-0.11200536552649232,-0.22340589569161,0,-0.6000000000000001,0.1384615384615384,-1.0,NA1_4035089614
